userid,sequence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103042100,O,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103042100,O,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103042100,O,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103042100,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,AB,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,PJ,PJ,PJ,AB,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,AB,PJ,PJ,PJ,PJ,AB,PJ,PJ,PJ,PJ,PJ,AB,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103042100,O,N,N,N,AB,N,N,N,AB,N,N,N,AB,BJ,C,BJ,BJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103042100,O,N,N,N,AMa,AMa,AMa,N,N,P,N,N,N,P,AB,N,N,N,N,N,P,P,P,N,N,N,N,N,N,N,AB,N,N,N,AMa,N,N,N,N,N,N,N,N,N,N,N,N,AB,P,N,N,N,AB,N,N,N,P,AB,N,N,N,N,N,N,N,P,AB,N,N,N,P,N,N,N,N,P,AMa,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103042100,O,N,N,N,N,N,N,N,N,N,N,N,N,N,P,P,P,P,P,P,P,P,P,P,P,P,P,N,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103042100,O,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,PJ,N,AMa,AMa,N,AMa,N,N,P,P,N,N,N,N,N,N,N,N,N,N,N,P,P,P,P,P,P,P,P,P,P,S,P,P,P,P,P,P,P,N,N,N,N,N,N,AMa,N,AMa,AMe,CMe,CMe,CMe,N,P,P,CMe,N,N,N,N,AMa,AMa,AMe,N,AMa,AMe,N,AB,N,N,AB,AMe,N,AB,N,N,N,N,N,AMe,N,N,N,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103042100,O,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103042100,O,N,AMe,CMe,CMe,N,N,AMa,DMa,AMa,P,P,AB,N,N,N,N,P,AB,N,P,N,N,N,N,P,P,N,N,AB,N,P,P,N,N,P,P,P,N,AB,P,P,BJ,N,N,N,N,N,N,N,N,AMa,N,N,N,P,P,P,N,N,N,P,AMa,AMa,N,N,P,AB,N,AMa,N,N,N,N,PJ,PJ,AMa,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,AMe,N,P,CMe,CMe,P,AMa,P,P,P,AMa,P,P,P,P,P,S,S,S,S,S,SJ,AMa,P,P,P,P,P,P,P,P,P,P,P,P,AMa,P,P,N,AB,P,P,P,P,P,P,P,P,P,P,N,N,N,AB,P,P,P,P,P,P,P,P,N,N,P,N,P,AB,N,P,N,AB,P,P,P,P,P,P,P,P,N,N,N,N,N,AMa,BJ,BJ,BJ,BJ,BJ,BJ,BJ,BJ,BJ,BJ,BJ,BJ,BJ,DB,BJ,DB,BJ,BJ,PJ,P,P,P,P,P
103042100,O,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103042100,O,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103042100,O,N,AMa,N,P,N,N,N,N,N,N,N,N,N,P,P,P,P,P,P,P,P,P,P,N,N,N,P,P,N,N,N,P,N,N,AB,N,N,N,AMa,AMa,AB,N,N,N,N,AMa,N,P,N,AB,P,AMe,N,N,N,AMa,DMa,AMa,N,N,AB,AMa,N,AB,N,N,AB,N,N,N,N,N,P,AMa,N,N,N,N,N,N,AMa,N,N,N,AMa,N,N,N,AB,N,N,P,AB,N,N,AMa,N,N,N,AB,N,N,N,AB,N,AMa,AMa,N,N,N,N,N,N,AB,N,N,N,N,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
